,English,SimplifiedChinese,TraditionalChinese,Russian
Rarity Filter,Rarity Filter,品质过滤器,品質過濾器,Фильтр редкости
Rate,Rate,百分比,百分比,Rate
Raven Bow,Raven Bow,鸦羽弓,鴉羽弓,Raven Bow
Raw Meat,Raw Meat,兽肉,獸肉,Raw Meat
Razor,Razor,雷泽,雷澤,Razor
Read the note!,Read the note!,查看注意事项!,查看注意事項!,Читайте Заметку(?) !
Recast Delay (ms),Recast Delay (ms),重竿延迟 (毫秒),重竿延遲 (毫秒),Повторная задержка (ms)
Recast rod,Recast rod,重新抛竿,重新拋竿,Перезакинуть удочку
Recipe,Recipe,食谱,食譜,Recipe
Rect,Rect,矩形,矩形,Rect
Rect Color,Rect Color,长方形颜色,長方形顏色,Rect Color
Rectangle,Rectangle,矩形,矩形,Rectangle
Recurve Bow,Recurve Bow,反曲弓,反曲弓,Recurve Bow
Red Horned Lizard,Red Horned Lizard,红角蜥,紅角蜥,Red Horned Lizard
Red Tailed Lizard,Red Tailed Lizard,赤尾蜥,赤尾蜥,Red Tailed Lizard
Red-Finned Unagi,Red-Finned Unagi,赤鳍陆鳗鳗,赤鰭陸鰻鰻,Red-Finned Unagi
Red-Tailed Weasel,Red-Tailed Weasel,红尾鼬,紅尾鼬,Red-Tailed Weasel
Redcrest,Redcrest,赤念果,赤念果,Красноплодник
Redhorn Stonethresher,Redhorn Stonethresher,赤角石溃杵,赤角石潰杵,Redhorn Stonethresher
Reduce,Reduce,减少,減少,Reduce
Reduce Skill/Burst Cooldown,Reduce Skill/Burst Cooldown,减少 战技/爆发 冷却时间,減少 戰技/爆發 冷卻時間,Уменьшить перезарядку навыков
"Reduce cooldowns of elemental skills and bursts.
1.0 - no CD, 2.0 and higher - increases the timer value.","Reduce cooldowns of elemental skills and bursts.
1.0 - no CD, 2.0 and higher - increases the timer value.","减少元素战技/元素爆发的冷却时间。
1.0: 无冷却
1.0以上: 冷却时间为数值-1。","減少元素戰技/元素爆發的冷卻時間。
1.0: 無冷卻
1.0以上: 冷卻時間為數值-1。","Уменьшает задержку перед использованием элементального скила и ульты до указанного вами значения.
1.0 - без КД, 2.0 и выше - увеличивает значение таймера."
Refresh,Refresh,刷新,刷新,Обновить
Relay Stone,Relay Stone,聚电石,聚電石,Камень разряда
Reload,Reload,重新加载,重新加載,Перезагрузить
Remarkable,Remarkable,奇馈,奇饋,Замечательный
Remarkable Chest,Remarkable Chest,奇馈宝箱,奇饋寶箱,Удивительный сундук
Remove Collider,Remove Collider,移除碰撞器,移除碰撞器,Удаляет коллайдер
Remove HP,Remove HP,移除血量,移除血量,Удаляет Здоровье
Remove damage output overlay,Remove damage output overlay,移除伤害输出覆盖,移除傷害輸出覆蓋,Удаляет отображение урона на экране
Removes delay in-between sprints.,Removes delay in-between sprints.,移除多次冲刺间的冷却时间,移除多次沖刺間的冷卻時間,Удаляет задержку между рывками.
"Removes energy requirement for elemental bursts.
(Energy bubble may appear incomplete but still usable.)","Removes energy requirement for elemental bursts.
(Energy bubble may appear incomplete but still usable.)",元素爆发不再需要充满能量(技能图标看起来是未充满但仍然可以使用),元素爆發不再需要充滿能量(技能圖標看起來是未充滿但仍然可以使用),"Убирает необходимость заряжать ульту.
"
Removes the fog.,Removes the fog.,移除雾气,移除霧氣,Удаляет туман.
Rename,Rename,重命名,重命名,Rename
Rename (Pseudo),Rename (Pseudo),重命名 (伪),重命名 (偽),Rename (Pseudo)
Repeat Delay (ms),Repeat Delay (ms),重复间隔 (毫秒),重覆間隔 (毫秒),Повторить задержку (ms)
Reset Key,Reset Key,重置key(暂),重置key(暫),Сбросить кнопку
Reset Roll,Reset Roll,重置滚动,重置滾動,Reset Roll
Resources,Resources,资源,資源,Ресурсы
Revert latest completion,Revert latest completion,恢复最近一次完成,恢覆最近一次完成,Revert latest completion
Rifthound,Rifthound,兽境猎犬,獸境獵犬,Гончая разрыва
Rifthound Whelp,Rifthound Whelp,兽境幼犬,獸境幼犬,Щенок разрыва
Right,Right,右,右,Right
Right HotKey,Right HotKey,向右热键,向右熱鍵,Right HotKey
Rishboland Tiger,Rishboland Tiger,长鬓虎,長鬢虎,Тигр ришболда
Risk Unknown!,Risk Unknown!,风险未知!,風險未知!,Риск неизвестен!
Rnm,Rnm,重命名,重命名,Rnm
Rock Pile,Rock Pile,岩石堆,岩石堆,Rock Pile
Rod will be recast after this delay (in ms).,Rod will be recast after this delay (in ms).,经过重竿延迟后，将会重新抛竿。,經過重竿延遲後，將會重新拋竿。,Удочка заново забросится через указанную задержку (in ms).
Roll Left,Roll Left,左滚动,左滾動,Roll Left
Roll Right,Roll Right,右滚动,右滾動,Roll Right
Roll Smoothing,Roll Smoothing,滚动平滑度,滾動平滑度,Roll Smoothing
Roll Speed,Roll Speed,滚动速度,滾動速度,Roll Speed
Rosaria,Rosaria,罗莎莉亚,羅莎莉亞,Rosaria
Royal Bow,Royal Bow,宗室长弓,宗室長弓,Royal Bow
Royal Greatsword,Royal Greatsword,宗室大剑,宗室大劍,Royal Greatsword
Royal Grimoire,Royal Grimoire,宗室秘法录,宗室秘法錄,Royal Grimoire
Royal Longsword,Royal Longsword,宗室长剑,宗室長劍,Royal Longsword
Royal Spear,Royal Spear,宗室长枪,宗室長槍,Royal Spear
Ruin Brazier,Ruin Brazier,遗迹之烛,遺跡之燭,Ruin Brazier
Ruin Drake,Ruin Drake,遗迹龙兽,遺跡龍獸,Ruin Drake
Ruin Grader,Ruin Grader,遗迹重机,遺跡重機,Ruin Grader
Ruin Guard,Ruin Guard,遗迹守卫,遺跡守衛,Ruin Guard
Ruin Hunter,Ruin Hunter,遗迹猎手,遺跡獵手,Ruin Hunter
Ruin Sentinel,Ruin Sentinel,遗迹机兵,遺跡機兵,Ruin Sentinel
Ruin Serpent,Ruin Serpent,遗迹巨蛇,遺跡巨蛇,Ruin Serpent
Rukkhashava Mushroom,Rukkhashava Mushroom,树王圣体菇,樹王聖體菇,Гриб Рукхашава
Runtime patcher. Only use it on private servers.,Runtime patcher. Only use it on private servers.,运行时补丁，仅在私服使用。,運行時(Runtime)補丁，僅在私服使用。,Runtime patcher. Only use it on private servers.
Rust,Rust,弓藏,弓藏,Rust
Rusty Koi,Rusty Koi,锖假龙,錆假龍,Rusty Koi
Sacred Sakura,Sacred Sakura,神樱树,神櫻樹,Sacred Sakura
Sacred Seal,Sacred Seal,圣章石,聖章石,Священная печать
Sacrificial Bow,Sacrificial Bow,祭礼弓,祭禮弓,Sacrificial Bow
Sacrificial Fragments,Sacrificial Fragments,祭礼残章,祭禮殘章,Sacrificial Fragments
Sacrificial Greatsword,Sacrificial Greatsword,祭礼大剑,祭禮大劍,Sacrificial Greatsword
Sacrificial Sword,Sacrificial Sword,祭礼剑,祭禮劍,Sacrificial Sword
Saghira Machine,Saghira Machine,能量提取装置,能量提取裝置,Странное устройство-экстрактор
Sakura Bloom,Sakura Bloom,绯樱绣球,緋櫻繡球,Цвет Сакуры
Salamander,Salamander,鳅鳅,鰍鰍,Саламандра
Samachurl,Samachurl,丘丘萨满,丘丘薩滿,Самачурл
Sand Pile,Sand Pile,松散的沙堆,松散的沙堆,Куча песка
Sandbearer Wood,Sandbearer Wood,却砂木,卻砂木,Sandbearer Wood
Sandstorm Angler,Sandstorm Angler,吹沙角鲀,吹沙角魨,Sandstorm Angler
Sango Pearl,Sango Pearl,珊瑚珍珠,珊瑚珍珠,Жемчужина Санго
Sangonomiya Cohort,Sangonomiya Cohort,珊瑚宫成员,珊瑚宮成員,Отряд Сангономия
Sangonomiya Kokomi,Sangonomiya Kokomi,珊瑚宫心海,珊瑚宮心海,Sangonomiya Kokomi
Sapphire,Sapphire,蓝宝石,藍寶石,Sapphire
Sapwood Blade,Sapwood Blade,原木刀,原木刀,Sapwood Blade
Save Theme,Save Theme,保存主题,保存主題,Сохранить тему
Save completed points,Save completed points,保存完成的点位,保存完成的點位,Save completed points
Save scope for completed items.,Save scope for completed items.,保存已完成物品的范围。,保存已完成物品的範圍。,Save scope for completed items.
Sayu,Sayu,早柚,早柚,Sayu
Scarab,Scarab,圣金虫,聖金蟲,Скарабей
Scarlet Quartz,Scarlet Quartz,深赤之石,深赤之石,Алый кварц
Scarlet Quartz Drop,Scarlet Quartz Drop,深赤之石掉落,深赤之石掉落,Scarlet Quartz Drop
Scorpion,Scorpion,毒蝎,毒蠍,Скорпион
Sea Ganoderma,Sea Ganoderma,海灵芝,海靈芝,Морской гриб
Seagrass,Seagrass,海草,海草,Морская трава
Seal Location I,Seal Location I,键纹锁 I,鍵紋 I,Seal Location I
Seal Location II,Seal Location II,键纹锁 II,鍵紋 II,Seal Location II
Seal Location III,Seal Location III,键纹锁 III,鍵紋 III,Seal Location III
Seal Location IV,Seal Location IV,键纹锁 IV,鍵紋 IV,Seal Location IV
Seal Location V,Seal Location V,键纹锁 V,鍵紋 V,Seal Location V
Seal Locations,Seal Locations,键纹锁,隱藏位置,Расположение пачатей (энканомия)
Sealed Chest,Sealed Chest,封印的宝箱,封印的寶箱,Sealed Chest
Search,Search,搜索,搜索,Поиск
Search Filters,Search Filters,搜索物品,搜索過濾器,Поисковые фильтры
Search Point,Search Point,调查点,調查點,Search Point
Search Points,Search Points,调查点,調查點,Search Points
Seasoned Hunter's Bow,Seasoned Hunter's Bow,历练的猎弓,歷練的獵弓,Seasoned Hunter's Bow
Seelie,Seelie,仙灵,仙靈,Фея
Seelie Court,NEED TO BE TRANSLATED,仙灵座,仙靈座,Seelie Court
Seelie Lamp,Seelie Lamp,仙灵座,仙靈座,Лампа для фей
Select,Select,选择,選擇,Select
Select the mode of box drawing.,Select the mode of box drawing.,选择边框绘制模式,選擇邊框繪制模式,Выбрать режим отрисовки box'a.
Select the mode of tracer drawing.,Select the mode of tracer drawing.,选择追踪绘制模式,選擇追蹤繪制模式,Выбрать режим рисования направления.
Select the quality of cook result.,Select the quality of cook result.,选择烹饪结果的质量,選擇烹飪結果的質量,Выбрать качество готовки.
Select weather type.,Select weather type.,选择天气类型,選擇天氣類型,Выбрать погоду.
Separated windows,Separated windows,独立窗口,獨立視窗,Separated windows
Serpent Spine,Serpent Spine,螭骨剑,螭骨劍,Serpent Spine
Set AltSpeed HotKey,Set AltSpeed HotKey,设置AltSpeed热键(暂),設置AltSpeed熱鍵(暫),Set AltSpeed HotKey
Set Ascend Key,Set Ascend Key,设置上升按键,設置上升按鍵,Set Ascend Key
Set Back Key,Set Back Key,设置向后按键,設置向後按鍵,Set Back Key
Set Descend Key,Set Descend Key,设置降低按键,設置降低按鍵,Set Descend Key
Set Forward Key,Set Forward Key,设置向前按键,設置向前按鍵,Set Forward Key
"Set GameSpeed Multiplier
Do NOT use this in the Open World, only use in menus/etc, VERY DANGEROUS!","Set GameSpeed Multiplier
Do NOT use this in the Open World, only use in menus/etc, VERY DANGEROUS!","加速游戏。
不要在开放世界中使用，只能在菜单/等中使用，风险极高!","加速遊戲。
不要在開放世界中使用，只能在菜單/等中使用，風險極高!","Установить множитель скорости игры
НЕ ИСПОЛЬЗУЙТЕ В ОТКРЫТОМ МИРЕ, только в меню/etc, ОЧЕНЬ ОПАСНО!"
Set Left Key,Set Left Key,设置向左按键,設置向左按鍵,Установить левую кнопку
Set Right Key,Set Right Key,设置向右按键,設置向右按鍵,Установить правую кнопку
Set UID position X,Set UID position X,设置UID X坐标,設置UID X坐標,Установить UID по оси X
Set UID position y,Set UID position y,设置UID Y坐标,設置UID Y坐標,Установить UID по оси y
Set UID size,Set UID size,设置UID字体大小,設置UID字體大小,"Установить размер UID "
Set a field of view value.,Set a field of view value.,设置视场大小值,視場大小值,установить значение поля зрения
Set a fixed additional zoom value to the camera.,Set a fixed additional zoom value to the camera.,给相机设置一个固定的附加视距值,給相機設置一個固定的附加變焦值,Установить фиксированное zoom значение для камеры.
Set accounts' name showing type.,Set accounts' name showing type.,设置账号名显示类型,設置帳號名顯示類型,Set accounts' name showing type.
Set avatar invisible,Set avatar invisible,设置头像不可见,設置頭像不可見,Установить невидимую иконку профиля (аватарка)
Set collider,Set collider,设置碰撞器,設置碰撞器,Установить коллайдер
Set the camera's maximum zoom radius ratio.,Set the camera's maximum zoom radius ratio.,设置相机的最大视距半径比,設置相機的最大變焦半徑比,Установите максимальный коэффициент радиуса масштабирования камеры..
Set the camera's minimum zoom radius ratio.,Set the camera's minimum zoom radius ratio.,设置相机的最小视距半径比,設置相機的最小變焦半徑比,Установите минимальный коэффициент радиуса масштабирования камеры..
"Set the camera's zoom speed multiplier.
Note: Sensitive and can be buggy. Best left at 1.","Set the camera's zoom speed multiplier.
Note: Sensitive and can be buggy. Best left at 1.","设置相机的视距速度乘数。
注意：该数值很灵敏，可能会产生问题，最好设置为1。","設置相機的變焦速度乘數。
注意：該數值很靈敏，可能會產生問題，最好設置為1。","Установить множитель скорости приближения(или отдаления) камеры.
Заметка: Настройка может забаговаться. Лучше оставить около 1."
Settings,Settings,设置,設置,Настройки
Shadowy Husk,Shadowy Husk,黯色空壳,黯色空殼,Черный доспех
Shaggy Sumpter Beast,Shaggy Sumpter Beast,牦牦驮兽,牦牦馱獸,Лохматый вьючий як
Sharpshooter's Oath,Sharpshooter's Oath,神射手之誓,神射手之誓,Sharpshooter's Oath
Shenhe,Shenhe,申鹤,申鶴,Shenhe
Shields,Shields,护盾,護盾,Щиты
Shikanoin Heizou,Shikanoin Heizou,鹿野院平藏,鹿野院平藏,Shikanoin Heizou
Shogun,Shogun,将军,將軍,Сёгун
Shogunate Infantry,Shogunate Infantry,幕府足轻,幕府足輕,Shogunate Infantry
Shouki No Kami,Shouki No Kami,正机之神殿,正機之神殿,Shouki No Kami
Show Ascension Materials,Show Ascension Materials,显示素材表,顯示素材表,Show Ascension Materials
Show Cheat Menu Key,Show Cheat Menu Key,显示Akebi菜单按键,顯示Akebi菜單按鍵,Показывать кнопку меню чита
Show Chest Indicator,Show Chest Indicator,显示宝箱指示器,顯示寶箱指示器,Индикатор сундуков
Show FPS Indicator,Show FPS Indicator,显示FPS指示器,顯示FPS指示器,Показывать FPS
Show HD icons,Show HD icons,显示高清图标,顯示高清圖標,Show HD icons
Show Icons,Show Icons,显示图标,Show Icons,Show Icons
Show ImGui theme customization window.,Show ImGui theme customization window.,显示ImGui定制主题窗口,顯示ImGui定制主題視窗,Показывать ImGui окно для кастомизацаии тем.
Show Info,Show Info,显示信息,顯示信息,Показывать информацию
Show Info Window,Show Info Window,显示信息窗口,顯示信息視窗,Показывать окно с сундуками и окусулами
Show Level-Up Dialog For Substat Rolls,Show Level-Up Dialog For Substat Rolls,显示升级信息对话框,顯示升級信息對話框,Show Level-Up Dialog For Substat Rolls
Show Notifications,Show Notifications,显示通知,顯示通知,Показывать Уведомления
Show Skill CDs,Show Skill CDs,显示技能 CD,顯示技能 CD,Show Skill CDs
Show Skill Cooldowns,Show Skill Cooldowns,显示技能冷却,顯示技能冷卻,Show Skill Cooldowns
Show Status Window,Show Status Window,显示状态窗口,顯示狀態視窗,Показывать окно с текущими функциями
Show Theme Customization,Show Theme Customization,显示ImGui定制主题,顯示ImGui定制主題,Показать кастомизацию тем
Show Type,Show Type,显示类型,顯示類型,Show Type
Show arrows with icons.,Show arrows with icons.,显示带有图标的箭头,Show arrows with icons.,Show arrows with icons.
"Show chests, game mechanics.","Show chests, game mechanics.",显示宝箱、游戏机制。,顯示寶箱、遊戲機制。,"Показывает сундуки, механики игры."
Show completed,Show completed,显示完成,顯示完成,Show completed
Show completed points.,Show completed points.,显示完成点位.,顯示完成點位.,Show completed points.
Show filtered object through obstacles.,Show filtered object through obstacles.,穿过障碍物显示过滤的物体,穿過障礙物顯示過濾的物體,Показывать отфильтрованный объект сквозь препятствия.
Show in-completed,Show in-completed,显示未完成,顯示未完成,Show in-completed
Show in-completed points.,Show in-completed points.,显示未完成的点位,顯示未完成的點位,Show in-completed points.
"Show level up dialog when artifacts roll substats
(when hitting levels 4, 8, 12, 16, and 20).","Show level up dialog when artifacts roll substats
(when hitting levels 4, 8, 12, 16, and 20).","显示物品升级信息对话框。
(当等级到达 4, 8, 12, 16 和 20时)","顯示物品升級信息對話框。
(當等級到達 4, 8, 12, 16 和 20時)","Show level up dialog when artifacts roll substats
(when hitting levels 4, 8, 12, 16, and 20)."
Show short info about nearest chest to the info window.,Show short info about nearest chest to the info window.,在信息窗口显示关于最近宝箱的简易信息,在信息視窗顯示關於最近寶箱的簡易信息,Отображать информацию о ближайших сундуках в окне.
Show skill cooldowns and charges besides team buttons.,Show skill cooldowns and charges besides team buttons.,在团队按钮旁，显示技能冷却时间和充能。,在團隊按鈕旁，顯示技能冷卻時間和充能。,Show skill cooldowns and charges besides team buttons.
Shrine Of Depth,Shrine Of Depth,地灵龛,地靈龕,Усыпальница глубин
Shrines of Depths,Shrines of Depths,地灵龛,地靈龕,Shrines of Depths
Shroomboar,Shroomboar,蕈猪,蕈豬,Shroomboar
Signora,Signora,女士,女士,Синьора
Silk Flower,Silk Flower,霓裳花,霓裳花,Шелковица
Silver Sword,Silver Sword,银剑,銀劍,Silver Sword
"Since you don't need to manually start electroseelie, 
they start moving automatically with this option within 100m radius.","Since you don't need to manually start electroseelie, 
they start moving automatically with this option within 100m radius.","您不需要手动启动雷灵，
它们会使用此选项在 100 米半径开始内自动移动。","您不需要手動啟動雷靈，
它們會使用此選項在 100 米半徑開始內自動移動。","Не надо подходить к электрофеям, 
они начнут двигаться сами в радиусе ~100 метров."
Size of cornered box,Size of cornered box,角框尺寸,角框尺寸,Size of cornered box
Skip Cutscenes,Skip Cutscenes,跳过过场动画,跳過過場動畫,Пропуск Катсцен
Skip Enhance Animation,Skip Enhance Animation,跳过强化动画,跳過強化動畫,Skip Enhance Animation
Skip weapon and artifact enhancement animation.,Skip weapon and artifact enhancement animation.,跳过武器和圣遗物强化动画,跳過武器和聖遺物強化動畫,Skip weapon and artifact enhancement animation.
Skyrider Greatsword,Skyrider Greatsword,飞天大御剑,飛天大禦劍,Skyrider Greatsword
Skyrider Sword,Skyrider Sword,飞天御剑,飛天禦劍,Skyrider Sword
Skyward Atlas,Skyward Atlas,天空之卷,天空之卷,Skyward Atlas
Skyward Blade,Skyward Blade,天空之刃,天空之刃,Skyward Blade
Skyward Harp,Skyward Harp,天空之翼,天空之翼,Skyward Harp
Skyward Pride,Skyward Pride,天空之傲,天空之傲,Skyward Pride
Skyward Spine,Skyward Spine,天空之脊,天空之脊,Skyward Spine
Slime,Slime,史莱姆,史萊姆,Слайм
Slingshot,Slingshot,弹弓,彈弓,Slingshot
Small Lamp Grass,Small Lamp Grass,小灯草,小燈草,Маленькая Светящаяся трава
Small Rock Pile,Small Rock Pile,小石碓,小石碓,Маленькая каменная насыпь
Snapdragon,Snapdragon,金鱼草,金魚草,Львиный зев
Snow Finch,Snow Finch,雪团雀,雪團雀,Snow Finch
Snow Fox,Snow Fox,雪狐,雪狐,Snow Fox
Snow Weasel,Snow Weasel,雪隐鼬,雪隱鼬,Snow Weasel
Snow-Tombed Starsilver,Snow-Tombed Starsilver,雪葬的星银,雪葬的星銀,Snow-Tombed Starsilver
SnowLight,SnowLight,雪光,雪光,SnowLight
Snowboar,Snowboar,雪猪,雪豬,Snowboar
Snowstrider,Snowstrider,雪中君,雪中君,Snowstrider
Solar Pearl,Solar Pearl,匣里日月,匣里日月,Solar Pearl
Song of Broken Pines,Song of Broken Pines,松籁响起之时,松籟響起之時,Song of Broken Pines
Special Chests,Special Chests,特殊宝箱,特殊寶箱,Специальный сундук
Special Items,Special Items,特殊物品,特殊物品,Special Items
Special Objects,Special Objects,特殊对象,特殊對象,Специальный объект
Specter,Specter,飘浮灵,飄浮靈,Призрак
Speed,Speed,速度,速度,Скорость
Speed Multiplier,Speed Multiplier,速度倍率,速度倍率,Множитель скорости
"Speed of character
 Not recommended going above 5","Speed of character
 Not recommended going above 5","角色自动奔跑速度。
不建议超过5。","角色自動奔跑速度。
不建議超過5。","Скорость персонажа
 Не рекомендуется больше 5"
Speeds up Time,Speeds up Time,对话时加速时间,對話時加速時間,Ускорить время
Speeds up game with hotkey,Speeds up game with hotkey,按键加速游戏,按鍵加速遊戲,Ускорить игру по нажатию кнопки
Spincrocodile,Spincrocodile,棘冠鳄,棘冠鱷,Крокодил (сумеру)
Spoof Anticheat result,Spoof Anticheat result,欺骗反作弊结果,欺騙反作弊結果,Spoof Anticheat result
Spoofs/Blocks anticheat reports made by WindSeedClientNotify.,Spoofs/Blocks anticheat reports made by WindSeedClientNotify.,欺骗/屏蔽WindSeedClientNotify的反作弊报告。,欺騙/屏蔽WindSeedClientNotify的反作弊報告。,Spoofs/Blocks anticheat reports made by WindSeedClientNotify.
Sprint,Sprint,冲刺,沖刺,Рывок
Squirrel,Squirrel,松鼠,松鼠,Белка
Staff of Homa,Staff of Homa,护摩之杖,護摩之杖,Staff of Homa
Staff of the Scarlet Sands,Staff of the Scarlet Sands,赤沙之杖,赤沙之杖,Staff of the Scarlet Sands
Starconch,Starconch,星螺,星螺,Звёздная ракушка
Starshroom,Starshroom,星蕈,星蕈,Starshroom
Starsilver,Starsilver,星银矿石,星銀礦石,Звёздная руда
Starsilver Drop,Starsilver Drop,星银矿石掉落,星銀礦石掉落,Starsilver Drop
State Filter,State Filter,状态过滤器,狀態過濾器,State Filter
Statue of The Seven,Statue of The Seven,七天神像,七天神像,Statue of The Seven
Status Window,Status Window,状态窗口,狀態視窗,Статус окно
Stone Pillar Seal,Stone Pillar Seal,石柱封印,石柱封印,Печать каменного столба
Storm,Storm,暴风,暴风,Storm
Storm Barrier,Storm Barrier,风屏障,風屏障,Штормовой барьер
Stormstone,Stormstone,「雷石」,「雷石」,Штормовой камень
Strange Tooth,Strange Tooth,奇异的「牙齿」,奇異的「牙齒」,Strange Tooth
Stretchy Fungus,Stretchy Fungus,伸缩蕈兽,伸縮蕈獸,Растягивающийся плесенник
Sucrose,Sucrose,砂糖,砂糖,Sucrose
Sumeru Puzzles,Sumeru Puzzles,须弥解密,須彌解密,Головоломки Сумеру
Sumeru Rose,Sumeru Rose,须弥蔷薇,須彌薔薇,Сумерская Роза
Sumeru Shrine of Depths,Sumeru Shrine of Depths,须弥地灵龛,須彌地靈龕,Sumeru Shrine of Depths
Summit Shaper,Summit Shaper,斫峰之刃,斫峰之刃,Summit Shaper
Sun Crab,Sun Crab,太阳蟹,太陽蟹,Sun Crab
Sunny Loach,Sunny Loach,晴天鳅鳅,晴天鰍鰍,Sunny Loach
Sunset Cloud Angler,Sunset Cloud Angler,暮云角鲀,暮雲角魨,Sunset Cloud Angler
Sunset Loach,Sunset Loach,落日鳅鳅,落日鰍鰍,Sunset Loach
Sunsettia,Sunsettia,日落果,日落果,Закатник
Suspicious,Suspicious,可疑的,可疑的,Suspicious
Sweet Flower,Sweet Flower,甜甜花,甜甜花,Цветок сахарок
Sweet-Flower Medaka,Sweet-Flower Medaka,甜甜花鳉,甜甜花鱂,Sweet-Flower Medaka
Sword,Sword,剑,劍,Sword
Sword Hilt,Sword Hilt,剑柄,劍柄,Рукоять меча
Swords,Swords,剑,劍,Swords
Sync to server,Sync to server,同步到服务器,同步到伺服器,Sync to server
TP,TP,传送,传送,NEED TO BE TRANSLATED
Tartaglia,Tartaglia,达达利亚,達達利亞,Тарталья
Tea-Colored Shirakodai,Tea-Colored Shirakodai,流纹茶碟鱼,流紋茶碟魚,Tea-Colored Shirakodai
Teleport,Teleport,传送,傳送,Телепорт
Teleport Key,Teleport Key,传送键,傳送鍵,Кнопка телепорта
Teleport Next,Teleport Next,传送下一个,傳送下一個,Телепортироваться к следующему
Teleport Previous,Teleport Previous,传送上一个,傳送上一個,Телепортироваться к предыдущему
Teleport Waypoint,Teleport Waypoint,传送锚点,傳送錨點,Teleport Waypoint
Teleport to Nearest,Teleport to Nearest,就近传送,就近傳送,Телепортироваться к ближайшему
"Teleport to QuestPoint.(Does not work for some Quest Areas) 
 Press the V key to track the Quest, then press the hotkey to teleport.","Teleport to QuestPoint.(Does not work for some Quest Areas) 
 Press the V key to track the Quest, then press the hotkey to teleport.","传送到任务点(一些任务区域无法生效) 
 首先追踪任务，然后再按下快捷键以进行传送","傳送到任務所在點(不適用於某些任務區域) 
 首先追蹤任務，然後按下熱鍵即可進行傳送","Teleport to QuestPoint.(Does not work for some Quest Areas) 
 Press the V key to track the Quest, then press the hotkey to teleport."
Teleports,Teleports,传送,傳送,Телепорты
Temari,Temari,手鞠,手鞠,Тэмари
Texture Changer,Texture Changer,纹理修改器,材質修改器,Замена Текстур
Texture Changer.,Texture Changer.,纹理修改器,材質修改器,Замена Текстур.
Texture changer,Texture changer,纹理修改器,材質修改器,Замена Текстур
The Alley Flash,The Alley Flash,暗巷闪光,暗巷閃光,The Alley Flash
The Bell,The Bell,钟剑,鐘劍,The Bell
The Black Sword,The Black Sword,黑剑,黑劍,The Black Sword
The Crux: The Alcor,The Crux: The Alcor,南十字•死兆星,南十字•死兆星,The Crux: The Alcor
The Eremites,The Eremites,镀金旅团,鍍金旅團,The Eremites
The Flute,The Flute,笛剑,笛劍,The Flute
The Great Snowboar King,The Great Snowboar King,「大雪猪王」,「大雪豬王」,The Great Snowboar King
The Stringless,The Stringless,绝弦,絕弦,The Stringless
The Unforged,The Unforged,无工之剑,無工之劍,The Unforged
The Viridescent Hunt,The Viridescent Hunt,苍翠猎弓,蒼翠獵弓,The Viridescent Hunt
The Widsith,The Widsith,流浪乐章,流浪樂章,The Widsith
The Withering,The Withering,死域,死域,Зона увядания
Theme Name,Theme Name,主题名称,主題名稱,Название темы
Theme Select,Theme Select,选择主题,選擇主題,Выбрать тему
"This mode prevents sending server packets with stamina cost actions,
e.g. swim, climb, sprint, etc.
NOTE: This is may be more safe than the standard method. More testing is needed.","This mode prevents sending server packets with stamina cost actions,
e.g. swim, climb, sprint, etc.
NOTE: This is may be more safe than the standard method. More testing is needed.","此模式可拦截包含体力消耗动作的服务器数据包，
如: 游泳、攀爬、冲刺。
注意: 这可能比标准方法更安全，需要更多测试。","此模式可攔截包含體力消耗動作的伺服器封包，
如: 遊泳、攀爬、沖刺。
注意: 這可能比標準方法更安全，需要更多測試。","Этот режим предотвращает отправку пакетов с тратой энерегии на сервер,
например: плавание, карабкание, бег, др.
ВАЖНО: это может быть безопаснее обычного режима. Требуется больше проверок."
"This page following with filters for items.
Items what was activated will be appear on mini/global map. (Obviously)
Each filter have options, you can access to it by clicking RMB on filter.
Filters can be marked with colored lines,
	they indicate that filter support some features. (Hover it)
Thats all for now. Happy using ^)","This page following with filters for items.
Items what was activated will be appear on mini/global map. (Obviously)
Each filter have options, you can access to it by clicking RMB on filter.
Filters can be marked with colored lines,
	they indicate that filter support some features. (Hover it)
Thats all for now. Happy using ^)","此页面后跟项目过滤器，
被激活的物品将出现在迷你/全球地图上(很显然)。
每个过滤器都有选项，您可以通过右键单击过滤器上来访问它。
某些过滤器右边有彩色线条标记，
	它们意味着这些过滤器支持某些特殊功能(悬停显示)
就这些了。Happy using :)","此頁面後跟項目過濾器，
被激活的物品將出現在迷你/全球地圖上(很顯然)。
每個過濾器都有選項，您可以通過右鍵單擊過濾器上來訪問它。
某些過濾器右邊有彩色線條標記，
	它們意味著這些過濾器支援某些特殊功能(懸停顯示)
就這些了。Happy using :)","This page following with filters for items.
Items what was activated will be appear on mini/global map. (Obviously)
Each filter have options, you can access to it by clicking RMB on filter.
Filters can be marked with colored lines,
	they indicate that filter support some features. (Hover it)
Thats all for now. Happy using ^)"
This will override One-Punch Mode!,This will override One-Punch Mode!,秒杀模式开启时随机模倍攻将失效,該選項會覆蓋秒殺模式,Это переопределит One-Punch Mode!
Thoma,Thoma,托马,托馬,Thoma
Three Boxes,Three Boxes,三个箱子,三個箱子,Three Boxes
